Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2023-01-02,2023-01-03,9885,CALI PIZZA KITC INC #297,Dining,46.30,
2023-01-01,2023-01-03,9885,TIMES SUPERMKT #3,Merchandise,31.20,
2022-12-30,2023-01-02,9885,SAMSCLUB #6410,Gas/Automotive,50.15,
2022-12-29,2022-12-31,9885,SHARETEA,Dining,7.54,
2022-12-30,2022-12-31,9885,TST* JAMBA JUICE - 0546 -,Dining,7.59,
2022-12-25,2022-12-27,9885,MCDONALD'S M4572 OF HI,Dining,8.77,
2022-12-26,2022-12-27,9885,TST* KOZO SUSHI - PEARL C,Dining,17.67,
2022-12-25,2022-12-26,9885,SP PINS AND ACES,Merchandise,30.41,
2022-12-23,2022-12-26,9885,MCDONALD'S F23244,Dining,10.65,
2022-12-15,2022-12-17,9885,DAVE & BUSTERS 30 PWC,Entertainment,29.32,
2022-12-16,2022-12-17,9885,SEPHORA PEARLRIDGE,Merchandise,161.40,
2022-12-15,2022-12-17,9885,DAVE & BUSTERS #30,Dining,7.31,
2022-12-15,2022-12-16,9885,EXPRESS#2073,Merchandise,17.77,
2022-12-15,2022-12-16,9885,76 - WAIMALU,Gas/Automotive,58.86,
2022-12-14,2022-12-15,9885,APPLE.COM/BILL,Internet,10.46,
2022-12-12,2022-12-13,9885,SNACK* BAGEL GOURM,Dining,10.47,
2022-12-12,2022-12-12,9885,SNACK* HENG THAI A,Dining,25.82,
2022-12-11,2022-12-12,9885,SNACK* BAGEL GOURM,Dining,11.92,
2022-12-10,2022-12-12,9885,SNACK* AROMA JOES,Dining,5.28,
2022-12-10,2022-12-10,9885,SNACK* MIKES CALZO,Dining,24.29,
2022-12-09,2022-12-10,9885,SNACK* AROMA JOES,Dining,10.36,
2022-12-09,2022-12-09,9885,SNACK* LA CREPERIE,Dining,19.17,
2022-12-08,2022-12-09,9885,SNACK* AROMA JOES,Dining,12.58,
2022-12-07,2022-12-08,9885,SQ *TINY BAR PVD,Dining,98.50,
2022-12-07,2022-12-08,9885,SNACK* AROMA JOES,Dining,4.80,
2022-12-06,2022-12-07,9885,SNACK* MIKES CALZO,Dining,24.29,
2022-12-05,2022-12-06,9885,THE MET,Dining,18.00,
2022-12-04,2022-12-05,9885,GAMESTOP #4007,Entertainment,103.58,
2022-12-03,2022-12-05,9885,SNACK* AROMA JOES,Dining,4.80,
2022-12-03,2022-12-05,9885,SNACK* AROMA JOES,Dining,10.36,

