Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2023-02-01,2023-02-01,9885,SNACK* MIKES CALZO,Dining,14.58,
2023-01-31,2023-01-31,9885,SP SKIMS,Merchandise,71.38,
2023-01-30,2023-01-31,9885,SNACK* BAGEL GOURM,Dining,14.12,
2023-01-29,2023-01-30,9885,SNACK* AROMA JOES,Dining,4.59,
2023-01-28,2023-01-30,9885,SNACK* AROMA JOES,Dining,9.94,
2023-01-26,2023-01-27,9885,APPLE.COM/BILL,Entertainment,,5.23
2023-01-24,2023-01-25,9885,APPLE.COM/BILL,Entertainment,15.69,
2023-01-22,2023-01-23,9885,Nike.com,Merchandise,140.70,
2023-01-22,2023-01-23,9885,SNACKPASS,Dining,21.86,
2023-01-22,2023-01-23,9885,"24 Hour Fitness USA, I",Entertainment,101.85,
2023-01-21,2023-01-23,9885,HANA TEA 2,Dining,12.57,
2023-01-14,2023-01-16,9885,APPLE.COM/BILL,Internet,10.46,
2023-01-05,2023-01-06,9885,SQ *TASTE TEA,Dining,6.25,
2023-01-05,2023-01-06,9885,DAVE & BUSTERS #30,Dining,27.27,
2023-01-03,2023-01-04,9885,DR PAUL CHIN OPTOMETRIST,Health Care,293.19,

