Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2023-03-02,2023-03-03,9885,SNACK* AROMA JOES,Dining,7.56,
2023-03-02,2023-03-03,9885,SNACKPASS,Dining,11.64,
2023-03-01,2023-03-02,9885,Spin Mobility,Other Travel,4.15,
2023-03-01,2023-03-02,9885,Spin Mobility,Other Travel,2.44,
2023-02-28,2023-03-01,9885,SNACK* POKEWORKS P,Dining,19.37,
2023-02-28,2023-03-01,9885,SNACK* AROMA JOES,Dining,12.91,
2023-02-27,2023-02-28,9885,SNACK* CALIENTE ME,Dining,11.88,
2023-02-27,2023-02-28,9885,SNACK* AROMA JOEsS,Dining,6.70,
2023-02-27,2023-02-28,9885,SNACK* AROMA JOES,Dining,10.43,
2023-02-27,2023-02-27,9885,SNACK* MIKES CALZO,Dining,24.29,
2023-02-23,2023-02-24,9885,SNACK* AROMA JOES,Dining,4.59,
2023-02-23,2023-02-24,9885,SNACK* MIKES CALZO,Dining,10.75,
2023-02-23,2023-02-24,9885,SNACK* MIKES CALZO,Dining,14.58,
2023-02-22,2023-02-23,9885,SNACK* EAST SIDE P,Dining,12.25,
2023-02-21,2023-02-22,9885,SNACK* POKEWORKS P,Dining,16.46,
2023-02-20,2023-02-21,9885,SNACK* BAGEL GOURM,Dining,13.69,
2023-02-18,2023-02-20,9885,SNACK* BAGEL GOURM,Dining,7.61,
2023-02-17,2023-02-18,9885,SNACK* AROMA JOES,Dining,4.59,
2023-02-17,2023-02-18,9885,SNACK* POKEWORKS P,Dining,9.69,
2023-02-17,2023-02-17,9885,SP SKIMS,Merchandise,47.08,
2023-02-17,2023-02-17,9885,SNACK* HENG THAI A,Dining,25.82,
2023-02-16,2023-02-17,9885,SNACK* EAST SIDE P,Dining,11.75,
2023-02-15,2023-02-16,9885,SNACK* LA CREPERIE,Dining,17.56,
2023-02-14,2023-02-15,9885,APPLE.COM/BILL,Entertainment,10.46,
2023-02-14,2023-02-15,9885,SNACK* BAGEL GOURM,Dining,7.61,
2023-02-13,2023-02-14,9885,SNACK* BAGEL GOURM,Dining,14.12,
2023-02-12,2023-02-13,9885,SNACK* CALIENTE ME,Dining,16.73,
2023-02-12,2023-02-13,9885,SNACK* BAGEL GOURM,Dining,14.12,
2023-02-12,2023-02-13,9885,FLOSOFTBALL.COM,Entertainment,31.34,
2023-02-11,2023-02-13,9885,SNACK* AROMA JOES,Dining,4.59,
2023-02-11,2023-02-11,9885,SNACK* MIKES CALZO,Dining,24.29,
2023-02-10,2023-02-11,9885,SNACK* AROMA JOES,Dining,9.94,
2023-02-06,2023-02-07,9885,SNACK* EAST SIDE P,Dining,14.00,
2023-02-03,2023-02-04,9885,SNACK* EAST SIDE P,Dining,11.25,

