Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2023-06-02,2023-06-03,9885,UBER   TRIP,Other Travel,21.57,
2023-05-31,2023-06-01,9885,Spin Mobility,Other Travel,15.84,
2023-05-31,2023-06-01,9885,Spin Mobility,Other Travel,8.99,
2023-05-31,2023-06-01,9885,Spin Mobility,Other Travel,6.94,
2023-05-30,2023-05-31,9885,"PROVIDENCE PLACE, RI-ANF",Merchandise,87.50,
2023-05-30,2023-05-31,9885,SNACK* BAGEL GOURMET O,Dining,10.78,
2023-05-29,2023-05-31,9885,MATUNUCK OYSTER BAR,Dining,57.23,
2023-05-30,2023-05-30,9885,SNACK* MIKES CALZONES,Dining,10.75,
2023-05-28,2023-05-29,9885,Bagel Gourmet-Thayer St,Dining,16.21,
2023-05-28,2023-05-29,9885,PROVIDENCE BAGEL - PROVI,Dining,42.55,
2023-05-28,2023-05-29,9885,FLATBREADC* FLATBREAD,Dining,94.60,
2023-05-28,2023-05-29,9885,SNACK* BAGEL GOURMET O,Dining,12.83,
2023-05-27,2023-05-27,9885,SNACK* CALIENTE MEXICA,Dining,11.88,
2023-05-26,2023-05-27,9885,SNACK* BAGEL GOURMET O,Dining,9.86,
2023-05-25,2023-05-26,9885,SNACK* TIGER SUGAR (PR,Dining,5.51,
2023-05-25,2023-05-26,9885,SNACK* TIGER SUGAR (PR,Dining,5.51,
2023-05-25,2023-05-26,9885,SNACK* BAGEL GOURMET O,Dining,14.50,
2023-05-25,2023-05-26,9885,SNACK* EAST SIDE POCKE,Dining,55.99,
2023-05-24,2023-05-25,9885,SNACK* BAGEL GOURMET (,Dining,9.11,
2023-05-24,2023-05-24,9885,SNACK* MIKES CALZONES,Dining,9.71,
2023-05-22,2023-05-24,9885,XACO TACO,Dining,228.58,
2023-05-23,2023-05-24,9885,Spin Mobility,Other Travel,3.47,
2023-05-21,2023-05-23,9885,UNITED      0162488499737,Airfare,889.50,
2023-05-22,2023-05-23,9885,Kindle Unltd*014EL57Z3,Entertainment,10.46,
2023-05-21,2023-05-22,9885,SQ *TASTE TEA,Dining,6.02,
2023-05-18,2023-05-20,9885,AUNTIE ANNES-O'HARE,Dining,10.05,
2023-05-18,2023-05-19,9885,DUNKIN #332744,Dining,12.78,
2023-05-18,2023-05-19,9885,UBER   TRIP,Other Travel,9.52,
2023-05-18,2023-05-19,9885,UBER   TRIP,Other Travel,47.62,
2023-05-17,2023-05-18,9885,FUNNEL* RENTAL APP FEE,Other Services,70.00,
2023-05-18,2023-05-18,9885,UBER   TRIP,Other Travel,18.12,
2023-05-17,2023-05-18,9885,SNACK* BAGEL GOURM,Dining,14.50,
2023-05-15,2023-05-16,9885,SNACK* BAGEL GOURM,Dining,3.35,
2023-05-15,2023-05-15,9885,SNACK* TIGER SUGAR,Dining,5.51,
2023-05-14,2023-05-15,9885,APPLE.COM/BILL,Entertainment,10.46,
2023-05-14,2023-05-15,9885,SNACK* BAGEL GOURM,Dining,3.35,
2023-05-13,2023-05-15,9885,SNACK* MIKES CALZO,Dining,18.30,
2023-05-13,2023-05-15,9885,Spin Mobility,Other Travel,2.10,
2023-05-12,2023-05-13,9885,SNACK* TIGER SUGAR,Dining,5.51,
2023-05-12,2023-05-13,9885,SNACK* BAGEL GOURM,Dining,14.12,
2023-05-11,2023-05-12,9885,SNACK* HENG THAI A,Dining,25.82,
2023-05-11,2023-05-12,9885,SNACK* TIGER SUGAR,Dining,5.51,
2023-05-11,2023-05-12,9885,SNACK* AROMA JOES,Dining,4.16,
